351.703,351.703,0,fork,0,Process::sudo,1,Process::sudo
351.707,351.707,1,execve,1,Process::sudo,2,Process::cp
351.707,351.707,2,load,3,Artifact::file::/usr/bin/cp,2,Process::cp
351.807,351.807,3,open,4,Artifact::file::/lib/x86_64-linux-gnu/libacl.so.1,2,Process::cp
351.863,351.863,4,create,2,Process::cp,5,Artifact::file::/home/admin/shadow
445.353,445.353,5,fork,6,Process::bash,7,Process::bash
490.980,490.980,6,execve,8,Process::hello.sh,9,Process::cp
490.980,490.980,7,load,3,Artifact::file::/usr/bin/cp,9,Process::cp
490.984,490.984,8,create,9,Process::cp,10,Artifact::file::/home/admin/doc/text.doc
490.984,490.984,9,open,11,Artifact::file::/lib/x86_64-linux-gnu/libdl.so.2,9,Process::cp
